"nom_amenageur","siren_amenageur","contact_amenageur","nom_operateur","contact_operateur","telephone_operateur","nom_enseigne","id_station_itinerance","id_station_local","nom_station","implantation_station","adresse_station","code_insee_commune","coordonneesXY","nbre_pdc","id_pdc_itinerance","id_pdc_local","puissance_nominale","prise_type_ef","prise_type_2","prise_type_combo_ccs","prise_type_chademo","prise_type_autre","gratuit","paiement_acte","paiement_cb","paiement_autre","tarification_eur_kWh","condition_acces","reservation","horaires","accessibilite_pmr","restriction_gabarit","station_deux_roues","raccordement","num_pdl","date_mise_en_service","observations","date_maj","cable_t2_attache","last_modified","datagouv_dataset_id","datagouv_resource_id","datagouv_organization_or_owner","created_at","consolidated_longitude","consolidated_latitude","consolidated_code_postal","consolidated_commune","consolidated_is_lon_lat_correct","consolidated_is_code_insee_verified","consolidated_is_code_insee_modified"
"TOYOTA ANNEMASSE - DEGENEVE","796680668","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANNEMASSE - DEGENEVE","FRZTLE24DC63446","63446","toyota - annemasse - 24kw dc ","Parking public","8 rue de l'industrie 74240 gaillard","74133","[6.2174783, 46.1858677]","1","FRZTLE24DC63446","63446","24","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","FALSE","mo-fr 08:00-12:00,mo-fr 14:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-06-16","inconnu","2021-06-16","inconnu","2024-12-06T06:45:00.804000+00:00","629de68e2d0044fffae6a1d9","1e0f2c9c-d942-4920-b931-273e5998334b","zeborne","2022-06-06T13:35:43.354000+00:00","6.2174783","46.1858677","74240","Gaillard","TRUE","TRUE","FALSE"
"GARAGE NELLO CHELI - BEAUNE","307016121","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","GARAGE NELLO CHELI - BEAUNE","FRZTLE24DC61319","61319","toyota - beaune - 24kw dc ","Parking public"," rue lucien perriaux zi de vignoles 21200 beaune","21054","[4.86082418, 47.0236522]","1","FRZTLE24DC61319","61319","24","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 07:45-12:00,mo-fr 13:45-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-24","inconnu","2021-05-24","inconnu","2024-12-06T06:45:00.492000+00:00","629dd955323018e81d181b39","72e09a71-ea8b-4036-8483-e75ff9723e12","zeborne","2022-06-06T12:39:17.870000+00:00","4.86082418","47.0236522","21200","Beaune","TRUE","TRUE","FALSE"
"GARAGE NELLO CHELI - BEAUNE","307016121","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","GARAGE NELLO CHELI - BEAUNE","FRZTLE24DC61318","61318","toyota - beaune - 24kw dc ","Parking public"," rue lucien perriaux zi de vignoles 21200 beaune","21054","[4.86082418, 47.0236522]","1","FRZTLE24DC61318","61318","24","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 07:45-12:00,mo-fr 13:45-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-05-24","inconnu","2021-05-24","inconnu","2024-12-06T06:45:00.492000+00:00","629dd955323018e81d181b39","72e09a71-ea8b-4036-8483-e75ff9723e12","zeborne","2022-06-06T12:39:17.870000+00:00","4.86082418","47.0236522","21200","Beaune","TRUE","TRUE","FALSE"
"TOYOTA NICE - NOVELLIPSE","827876251","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA NICE - NOVELLIPSE","FRZTLE24DC55361","55361","toyota - nice - 24kw dc ","Parking public","108 avenue simone veil 06200 nice","06088","[7.201547, 43.6885902]","1","FRZTLE24DC55361","55361","22","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-fr 08:00-12:30,mo-fr 13:30-19:00,sa 09:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-02-24","inconnu","2021-02-24","inconnu","2024-12-06T06:44:53.447000+00:00","6294a73392b4df126e484aa9","8658b21e-ecfc-47a5-baeb-816e9ddfd9bc","zeborne","2022-05-30T13:15:00.326000+00:00","7.201547","43.6885902","inconnu","Nice","TRUE","TRUE","FALSE"
"TOYOTA LE CANNET - STAR AUTO","315044321","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LE CANNET - STAR AUTO","FRZTLE24DC53268","53268","toyota - le cannet - 24kw dc ","Parking public","756 avenue de campon 06110 le cannet","06030","[7.012564, 43.576079]","1","FRZTLE24DC53268","53268","24","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 08:30-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-02-05","inconnu","2021-02-05","inconnu","2024-12-06T06:45:22.412000+00:00","62a064a7877a70fa1411cd8d","33b8fed9-e1f8-44bb-8e19-f823cc92eba5","zeborne","2022-06-08T10:58:15.991000+00:00","7.012564","43.576079","6110","Le Cannet","TRUE","TRUE","FALSE"
"TOYOTA LE CANNET - STAR AUTO","315044321","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LE CANNET - STAR AUTO","FRZTLE22AC66599","66599","toyota - le cannet - 22kw ac ","Parking public","756 avenue de campon 06110 le cannet","06030","[7.012564, 43.576079]","1","FRZTLE22AC66599","66599","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 08:30-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-07-22","inconnu","2021-07-22","inconnu","2024-12-06T06:45:22.412000+00:00","62a064a7877a70fa1411cd8d","33b8fed9-e1f8-44bb-8e19-f823cc92eba5","zeborne","2022-06-08T10:58:15.991000+00:00","7.012564","43.576079","6110","Le Cannet","TRUE","TRUE","FALSE"
"TOYOTA LE CANNET - STAR AUTO","315044321","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA LE CANNET - STAR AUTO","FRZTLE22AC66598","66598","toyota - le cannet - 22kw ac ","Parking public","756 avenue de campon 06110 le cannet","06030","[7.012564, 43.576079]","1","FRZTLE22AC66598","66598","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 08:30-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-07-22","inconnu","2021-07-22","inconnu","2024-12-06T06:45:22.412000+00:00","62a064a7877a70fa1411cd8d","33b8fed9-e1f8-44bb-8e19-f823cc92eba5","zeborne","2022-06-08T10:58:15.991000+00:00","7.012564","43.576079","6110","Le Cannet","TRUE","TRUE","FALSE"
"TOYOTA - METZ","403547102","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA - METZ","FRZTLE22AC64646","64646","toyota - metz- 22kw ac d ","Parking public","15 rue des allies 57050 metz","57463","[2.615871, 48.816567]","1","FRZTLE22AC64646","64646","22","FALSE","TRUE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE","FALSE","0","Accès libre","TRUE","mo-fr 08:00-19:00,sa 09:00-18:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2020-11-23","inconnu","2020-11-23","inconnu","2024-12-06T06:49:53.097000+00:00","633452e50c0366eecca7df9d","0bb0958d-6c80-4450-89df-2ed3aad072f0","zeborne","2022-09-28T15:57:58.261000+00:00","2.615871","48.816567","57050","Metz","FALSE","TRUE","FALSE"
"TOYOTA ANTIBES- NOVELLIPSE","827876251","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANTIBES- NOVELLIPSE","FRZTLE22AC62872","62872","toyota - antibes - 22kw ac","Parking public","2451 chemin de saint-claude, 06600 antibes","06004","[7.0880539, 43.6023265]","1","FRZTLE22AC62872","62872","21","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 09:00-19:00,su 10:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-06-14","inconnu","2021-06-14","inconnu","2024-12-06T06:45:01.651000+00:00","6290e554de153b911b403fa9","488ade07-d780-424a-9574-32ccea91d477","zeborne","2022-05-27T16:51:00.660000+00:00","7.0880539","43.6023265","inconnu","Antibes","TRUE","TRUE","FALSE"
"TOYOTA ANTIBES- NOVELLIPSE","827876251","advenir@zeborne.com","ZEBORNE","advenir@zeborne.com","0252072597","TOYOTA ANTIBES- NOVELLIPSE","FRZTLE22AC62871","62871","toyota - antibes - 22kw ac","Parking public","2451 chemin de saint-claude, 06600 antibes","06004","[7.0880539, 43.6023265]","1","FRZTLE22AC62871","62871","22","FALSE","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","TRUE","0","Accès libre","TRUE","mo-sa 09:00-19:00,su 10:00-19:00","Accessible mais non réservé PMR","aucune","FALSE","Indirect","inconnu","2021-06-14","inconnu","2021-06-14","inconnu","2024-12-06T06:45:01.651000+00:00","6290e554de153b911b403fa9","488ade07-d780-424a-9574-32ccea91d477","zeborne","2022-05-27T16:51:00.660000+00:00","7.0880539","43.6023265","inconnu","Antibes","TRUE","TRUE","FALSE"
